Cal,CATE estimator,Lower Decile,Upper Decile,Lower Decile,Upper Decile,Lower Decile,Upper Decile,Lower Decile,Upper Decile
yes,splines,-0.01,-0.02,0,-0.01,0,-0.01,-0.02,0.02
no,splines,-0.02,-0.03,-0.01,-0.02,-0.02,-0.01,-0.05,0.03
yes,gam,-0.02,0.01,0,0.01,0,0.03,-0.01,0.05
no,gam,0.02,-0.06,0.03,-0.07,0.02,-0.05,0.02,-0.04
yes,glm,-0.01,0.02,-0.01,0.02,0,0.05,-0.01,0.06
no,glm,0.02,-0.01,0.02,-0.02,0.02,-0.01,0.02,-0.01
yes,glmnet,-0.01,0.02,-0.01,0.02,0,0.05,-0.01,0.06
no,glmnet,0.02,-0.02,0.02,-0.02,0.03,-0.01,0.03,-0.01
yes,random forest,-0.01,0,0,0,-0.03,0.03,-0.04,0.04
no,random forest,-0.09,0.04,-0.08,0.05,-0.08,0.04,-0.06,0.03
yes,boosted trees 2,-0.01,0,0,-0.01,-0.01,0.01,0,0.02
no,boosted trees 2,0.1,-0.16,0.11,-0.16,0.12,-0.15,0.13,-0.14
yes,boosted trees 3,-0.02,-0.02,0,-0.02,-0.01,0,-0.02,0.01
no,boosted trees 3,0.02,-0.14,0.02,-0.14,0.03,-0.1,0.02,-0.08
yes,boosted trees 5,-0.01,-0.02,0,-0.01,0,0,-0.01,0
no,boosted trees 5,-0.04,-0.04,-0.01,-0.06,-0.07,0.01,-0.11,0.05
yes,boosted trees 6,0,-0.03,0.01,-0.02,0,-0.01,-0.01,0
no,boosted trees 6,-0.07,0,-0.04,-0.03,-0.11,0.06,-0.16,0.1
yes,boosted trees 8,0.01,-0.04,0.02,-0.03,0,-0.01,-0.01,-0.01
no,boosted trees 8,-0.14,0.08,-0.1,0.04,-0.19,0.14,-0.22,0.17
