"scen","adj","method","lower1k","upper1k","lower2k","upper2k","lower5k","upper5k","lower10k","upper10k"
4,"pooled","earth",-0.01,-0.02,0,-0.01,0,-0.01,-0.02,0.02
4,"uncal","earth",-0.02,-0.03,-0.01,-0.02,-0.02,-0.01,-0.05,0.03
4,"pooled","gam",-0.02,0.01,0,0.01,0,0.03,-0.01,0.05
4,"uncal","gam",0.02,-0.06,0.03,-0.07,0.02,-0.05,0.02,-0.04
4,"pooled","glm",-0.01,0.02,-0.01,0.02,0,0.05,-0.01,0.06
4,"uncal","glm",0.02,-0.01,0.02,-0.02,0.02,-0.01,0.02,-0.01
4,"pooled","glmnet",-0.01,0.02,-0.01,0.02,0,0.05,-0.01,0.06
4,"uncal","glmnet",0.02,-0.02,0.02,-0.02,0.03,-0.01,0.03,-0.01
4,"pooled","ranger",-0.01,0,0,0,-0.03,0.03,-0.04,0.04
4,"uncal","ranger",-0.09,0.04,-0.08,0.05,-0.08,0.04,-0.06,0.03
4,"pooled","xgboost2",-0.01,0,0,-0.01,-0.01,0.01,0,0.02
4,"uncal","xgboost2",0.1,-0.16,0.11,-0.16,0.12,-0.15,0.13,-0.14
4,"pooled","xgboost3",-0.02,-0.02,0,-0.02,-0.01,0,-0.02,0.01
4,"uncal","xgboost3",0.02,-0.14,0.02,-0.14,0.03,-0.1,0.02,-0.08
4,"pooled","xgboost5",-0.01,-0.02,0,-0.01,0,0,-0.01,0
4,"uncal","xgboost5",-0.04,-0.04,-0.01,-0.06,-0.07,0.01,-0.11,0.05
4,"pooled","xgboost6",0,-0.03,0.01,-0.02,0,-0.01,-0.01,0
4,"uncal","xgboost6",-0.07,0,-0.04,-0.03,-0.11,0.06,-0.16,0.1
4,"pooled","xgboost8",0.01,-0.04,0.02,-0.03,0,-0.01,-0.01,-0.01
4,"uncal","xgboost8",-0.14,0.08,-0.1,0.04,-0.19,0.14,-0.22,0.17
11,"pooled","glmnet",0,0,0,0,0.01,0.01,0.01,0.01
11,"uncal","glmnet",0.18,0.19,0.2,0.18,0.15,0.16,0.14,0.12
11,"pooled","glmnetxgb",-0.23,-0.06,-0.18,-0.06,-0.33,-0.08,-0.37,-0.1
11,"uncal","glmnetxgb",-0.36,-0.16,-0.34,-0.15,-0.4,-0.2,-0.35,-0.22
11,"pooled","ranger",-0.09,-0.03,-0.06,-0.03,-0.14,-0.04,-0.21,-0.04
11,"uncal","ranger",-0.9,-0.75,-0.86,-0.7,-0.95,-0.82,-0.98,-0.87
